"Category Name","Product Name","Product Price","Best Seller Rating","Ship From","Sold By","Rating","Product Description","Number Bought in the Past Month","All Available Images"
"kitchen","One94Store 3D Deer Crystal Globe Lamp Creative Engraved Crystal Ball Night Light USB Table LED Wooden Crystal Ball for Home Office Decoration Birthday Gift Adults (Deer 6cm)(Warm White)","₹299.00","N/A","Amazon","X4Cart Details","4 out of 5","Package Contain: 1x 3D Deer Crystal Desk Lamp, USB Cable, User Manual (Warm White Color)
Base Size and Led: Base Size 7 cm with Wooden Touch, 5 led Warm White color with usb connection, Crystal Ball Size is 6 cm
Material: The 3D Deer Forest Crystal Ball Night Light is made from high-quality crystal, safe and harmless to the human body. The night light comes with soft, uniform, non-flicker light. It is a practical kids night light for the bedroom.
Beautiful Pattern: Design by 3D engraving technology, and the moon, galaxy, elk, the design is closely approaching really, which can be used as interior decoration lights and the atmosphere of the house
Illuminating Crystal Ball Light: The 3D Crystal Ball is made of high-quality K10 crystal, which is more transparent and pure, free of bubbles and impurities.","N/A","N/A"
"kitchen","Orient Electric Areva Portable Room Heater | 2000W | Two Heating Modes | Advanced Overheat Protection | Horizontal & Vertical Mount | 1-year replacement warranty by Orient | White","₹1,499.00","N/A","Amazon","RetailEZ Pvt Ltd Details","4 out of 5","Designed for a two-way, space-efficient placement: Mount this room heater horizontally for a blow of hot air in your direction while sitting, or vertically to direct the warm air precisely at your feet level.
100% Copper motor for a long-lasting performance: Orient Electric’s portable room heater- Areva comes with a 100% Copper motor for a reliable performance.
2300 RPM high-speed motor: For immediate spread of warmth throughout your room, this heater comes with a 2300 RPM high-speed motor.
Two adjustable heat settings: Combat the winter chills with the high heat mode or enjoy the warmth on mild winter days with the low heat mode. This heater comes with two heating elements of 1000W each, making Areva a perfect room blower for winter.
Enjoy complete protection & long life with in-built safety features: The room heater for home is equipped with safety features for temperature control, preventing burnout of heating elements, protection against overheating and fire hazards.
One-year replacement warranty: This portable room heater comes protected against manufacturing defects with a one-year replacement warranty, thereby giving you the ultimate peace of mind.","N/A","N/A"
"kitchen","Amazon Brand - Presto! Garbage Bags Medium 180 Count|19 x 21 inches Black , For Dry & Wet waste|30 bags/roll (Pack of 6)","₹326.00","‎ Amazon Brand - Presto! Garbage Bags, Medium - 30 bags/roll (Pack of 6) Best Sellers Rank: #3 in Home & Kitchen ( See Top 100 in Home & Kitchen ) #1 in Dustbin Bags Customer Reviews: 4.4 4.4 out of 5 stars 48,752 ratings","Amazon","RK World Infocom Pvt Ltd Packaging Ships in product packaging This item has been tested to certify it can ship safely in its original box or bag to avoid unnecessary packaging. Since 2015, we have reduced the weight of outbound packaging per shipment by 41% on average, that’s over 2 million tons of packaging material. Details","4.4 out of 5","Convenient for clean-up and garbage disposal
Multifunctional use; ideal for office, hotels, household use, parties, baby diapers, and clearing pet's litter
Detachable tie-tape to tie up bag after use
Garbage Bags for your home and kitchen
Dimensions - 48 cms x 53 cms; Size: Medium
Package Contents - 6 Rolls of Garbage Bags; Quantity: 30 per roll; Colour: Black","N/A","N/A"
"kitchen","ATOM Digital Kitchen Food Weighing Scale For Healthy Living, Home Baking, Cooking, Fitness & Balanced Diet. | 1 Year Warranty | 10Kg x 1gms with 2 Batteries Included, SF400/A121, Color May vary","₹199.00","N/A","Amazon","Clicktech Retail Private Ltd Details","3.9 out of 5","Portable LCD Electronic Balance digital scale .Small and Light, Making it Convenient to Carry and Use.
LCD back light, easy to read value at day and night
Convenient weighing unit switch, data lock . Over load indication, auto power off after 120 seconds without any operation. Easy to Use.
HIGH PRESICION STRAIN GUAGE SENSOR SYSTEM: The Kitchen scale equipped with high presicion strain gauge sensor system
BATTERIES INCLUDED: The scale comes handy with ready to use 2*AAA Battery
FEATURES: Low battery & Overload Indicators Product is specially desigened for the India
Durable to use .
Color - White, Used to weigh food items","N/A","N/A"
"kitchen","Orpat OEH-1220 2000-Watt Fan Heater (White)","₹1,249.00","N/A","Amazon","RetailEZ Pvt Ltd Details","4.1 out of 5","Meant for Spot Heating, Room Size: Upto 250 sq ft. 100% Pure Copper Wire Motor for long life
Ideal for a small / medium room only, i.e., up to 250 sq. ft. when operated at 2000 watt heat setting. Makes some noise due to fan. Body Material: Plastic, Metal
Refer the wattage chart image for locating heater wattage requirement for your room size. Safety Mesh Grill. Cool Touch Body
Plug type: 15A, do not plug in the standard 5 or 6A socket, you may require a 3 pin plug or extension cord to act as a 5-15A convertor but can not be used for long time with extension cord
Non sagging, stitching type and long life heating element, Safety cut-off, Overheat Protection
Thermal cut-off for added safety, Two heat settings-1000 watts and 2000 watts
Package content: 1 Room Heater, User guide","N/A","N/A"
"kitchen","AGARO Elite Lint Remover With Power Cord for Woollen Sweaters, Blankets, Jackets/Burr Remover Pill Remover from Carpets, Curtains","₹379.00","N/A","Amazon","RetailEZ Pvt Ltd Details","4.3 out of 5","Efficiently removes fabric fluff, fuzz, bobbles, pills, burr from all types of garments, fabrics and restores to a fresh look
6 leaf stainless steel blades eliminates the lint smoothly and prevents the fabric from getting damaged
The motor generates a strong suction when the blades are rotating for maximum effect
Comes with Honeycomb Mesh in 3 different sizes Large, Medium, small to remove wide range of lints
Comes with a 5 ft long power cord
1 Year Warranty","N/A","N/A"
"kitchen","Ezee Black Garbage Bags for Dustbin | 90 Pcs | Medium 19 X 21 Inches | 30 Pcs x Pack of 3","₹159.00","N/A","Amazon","ETrade Online Details","4.2 out of 5","EZEE REGULAR - Garbage bags make cleaning and garbage disposal a hassle-free task while being easy on the environment. The sealed bottom of the bags prevents any leakage and makes them sturdy and durable to maintain hygiene.
DTIE TAPE - Each bag has a unique detachable tie tape to tie the bags after use and for easy disposal. It comes with a simple perforation technology for quickly separating the bags from the roll.
WASTE DISPOSAL: Perfect for wet and dry waste, food waste and fits the trash cans conveniently without tearing. They are Strong and thick containing a Seal in the bottom to prevent any leakages. Heavy Load Wastes can be easily carried with this Garbage Bag.
MULTI-PURPOSE- Our Garbage Bags can be used for Office, Kitchen, Bathroom, Bedroom, Living Room, Baby diapers, Car, Pet's litter. It is Suitable for both wet and dry waste.
PACKAGE CONTENTS- Contains 90 Medium Garbage Bags Measuring 19 X 21 Inches.","N/A","N/A"
"kitchen","Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel","₹274.00","N/A","Amazon","Emarat Impex Details","3.8 out of 5","PROUDLY MADE IN INDIA: The Zulaxy heavy quality Strong nail hook is proudly Made in India. The Zulaxy wall nail hooks has 33% more adhesion, so it is strong and lasts long.
STRONG & VERSATILE: Heavy duty hooks can hold up to 10 KG on smooth surface. These adhesive hooks can be used variously: coat hooks, key hooks, bathroom towel hooks.
WATERPROOF AND RUSTPROOF: The Zulaxy adhesive hooks are built sturdy enough to hold college student backpacks. The heavy-duty hooks and durable stainless steel construction of non-magnetic metal are corrosion-free, meaning it will last bathroom without rusting.
EASY TO USE: Wall hangers easily to clean and paste without surface damage, no need to nail and drill the wall, can be utilized repeatedly after cleaning and dry.
USE IT ANYWHERE: Widely used on a variety of surfaces, like Wood, Tile, Ceramic, Metal, Plastic Surface and more, especially great for for bathroom, kitchen, wall decor hooks, shower hooks indoor and outdoor hooks, towel hooks.","N/A","N/A"
"kitchen","Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. (Silver)","₹599.00","N/A","Amazon","RetailEZ Pvt Ltd Details","3.9 out of 5","CLASSIC DESIGN: The classical mirror polish of the appearance makes your electric kettle unique and aesthetic, which can match any type of kitchen design and 360° swivel base is connected with standard power cord for safe usage and convenient storage
CORDLESS POURING: The electric kettle can be easily lifts from its swivel base for easy filling at the sink and graceful serving without the hassle of a power cord; it can also be returned to its power source from any direction, great for right and left-handed users.
CONVENIENT: The cordless & BPA-Free electric electric kettle makes a striking presence on any kitchen counter or buffet in preparing and serving and it is easy for storage
FAST BOIL: This 1500W electric kettle has concealed heating elements and can boil up to 1.5 litres of water in 5 to 7 minutes, quicker and safer. Start your day with a cup of instant lemon tea, green tea, hot water.
EASY CLEAN: Use white vinegar, baking soda, water, cleaning bottle brush and microfiber cloth to clean your electric kettle and keep it looking new.
Water Level Indicator: No","N/A","N/A"
"kitchen","MILTON Aura 1000 Thermosteel Bottle, 1050 ml Water Bottles, 24 Hours Hot and Cold, Easy to Carry, Easy Grip, Rust Proof, Tea, Coffee, Office, Travel Bottle, Black","₹932.00","N/A","Amazon","RetailEZ Pvt Ltd Details","4.3 out of 5","Color: Black; Material: Stainless Steel; Package Content: 1 - Piece Aura Thermosteel Bottle (1.05 Litre); Dimension in cms (L x W x H): 8.4 x 8.4 x 30.
Double walled Vacuum insulated technology keeps beverages hot or cold for 24 hours, Inner copper coating for better temperature retention. A unique bottle that makes pouring completely hassle-free and spill-free.
This Water Bottle made from stainless steel, which makes it completely Safe to Store your water & beverages for the long time. This will help to prevent natural properties of water & beverages like tea, coffee, juices Etc.
SS 304 Inside and outside makes this bottle rust proof, which makes it durable also. This bottle is easy to carry also as it comes with carry string for easy carrying. It can perfectly fit in side pocket of backpack.
The travel water bottle comes with a leak proof lid that will prevent any accidental spills. This water bottle is easy to grab, while you are on the go. It is easy to carry anywhere you go office, home, picnics, outdoor, campaning. Ideal for self use and gifting.","N/A","N/A"
"shoes","DRUNKEN Slipper For Men and Women Flip Flops Hotel Spa Massage Chappal Bedroom Carpet Slippers Sandal","","‎ Slipper Best Sellers Rank: #1 in Shoes & Handbags ( See Top 100 in Shoes & Handbags ) #1 in Women's Flip-Flops & Slippers Customer Reviews: 3.3 3.3 out of 5 stars 10,288 ratings","Amazon","ILU Details","3.3 out of 5","N/A","N/A","N/A"
"shoes","ASIAN Men's Wonder-13 Sports Running Shoes…","","‎ First Walker Shoe Best Sellers Rank: #2 in Shoes & Handbags ( See Top 100 in Shoes & Handbags ) #1 in Men's Running Shoes Customer Reviews: 3.9 3.9 out of 5 stars 102,225 ratings","Amazon","Asian Shoes Packaging Ships in product packaging This item has been tested to certify it can ship safely in its original box or bag to avoid unnecessary packaging. Since 2015, we have reduced the weight of outbound packaging per shipment by 41% on average, that’s over 2 million tons of packaging material. Details","3.9 out of 5","Lightweight & Breathable :Exclusive design and durable materials every step feels light and breezy. Breathable, free-moving fabrics which adjust according to your foot and creates an astoundingly easy-going experience. Non Slip & Shockproof : Great engineering strikes a balance in style, made in the potent design and latest fashion trends. Made for long-term wear, with extra emphasis on providing cushion to the feet, removing heel strain. Comfort Sole & Flexible Walk : The outsoles are made by an air cushion, doubling the effect of shock absorption. Besides, these shoes perform excellent in durability and are also slip resistant. It provides push cushioning comfort for foot pain relief and helps relieve pressure while conforming to your every step","N/A","N/A"
"shoes","Sparx Men's Slippers","","‎ Flip-Flop Best Sellers Rank: #3 in Shoes & Handbags ( See Top 100 in Shoes & Handbags ) #1 in Men's Flip-Flops & Slippers Customer Reviews: 4.1 4.1 out of 5 stars 48,865 ratings","Amazon","Cocoblu Retail Details","4.1 out of 5","Sparx offers a diverse and stunning range of flip-flops. The Sparx SF0014G comes in a soft synthetic material with a textile strap. What's more, its vibrant shades will truly upgrade your style quotient. Sparx, the most stylish range of shoes, sandals and slippers are exclusively designed to match the latest trends of the new generation. Known for its sturdy and stylish designs, Sparx is an iconic youth brand for those who dare to explore the world. Sparx is a spectacular range of footwear from the house of Relaxo Footwears Ltd., a name trusted among millions of people in India and across the world for delivering unmatched quality. Since its inception, the company has established a benchmark for bringing the finest range of footwears. A perfect combination of comfort, style, and workmanship, Sparx is all about confidence and making a fashion statement. Its flaunting design pattern sparks a cool statement as you take a step ahead in them.","N/A","N/A"
"shoes","DOCTOR EXTRA SOFT Doctor Ortho Slippers for Women.","","‎ Slipper Best Sellers Rank: #4 in Shoes & Handbags ( See Top 100 in Shoes & Handbags ) #2 in Women's Flip-Flops & Slippers Customer Reviews: 4.0 4.0 out of 5 stars 55,458 ratings","Amazon","FAMILY FOOTWEAR. Details","4 out of 5","Add This wonderful slippers to your Shoe Closet. Brought to you by Family Collection, this slipper is not only Colourful and Highly attractive to look at, but also extremely Comfortable to wear.These slippers are preventive footwear for Diabetic Foot problems, relieves heel arch and Ankle Pains.Soft in-sole, Flexible sole for better walking comfort Extra Soft and Comfortable bottom for Heel Comfort.","N/A","N/A"
"shoes","AIRSON AL-5 Slipper for Women | Orthopedic, Diabetic, Pregnancy | Soft Doctor Anti-Skid Slipper for Women |Slides, Flip-Flops, Slippers, Chappals | For Ladies and Girls","","‎ Flip-Flop Best Sellers Rank: #5 in Shoes & Handbags ( See Top 100 in Shoes & Handbags ) #3 in Women's Flip-Flops & Slippers Customer Reviews: 4.1 4.1 out of 5 stars 3,057 ratings","Amazon","AirsonAutolite Details","4.1 out of 5","N/A","N/A","N/A"
"shoes","DOCTOR HEALTH SUPER SOFT Women's Flip-Flops Slippers | Flip-Flops | Women's & Girl's Slippers | Comfortable & Lightweight | Soft Foot Massager | All Day Wear Flip-Flops Slipper","","‎ Slipper Best Sellers Rank: #6 in Shoes & Handbags ( See Top 100 in Shoes & Handbags ) #1 in Women's Fashion Slippers Customer Reviews: 4.0 4.0 out of 5 stars 43 ratings","N/A","Doctor Health Super Soft Details","4 out of 5","N/A","N/A","N/A"
"shoes","Fargo Leatherette Side White Sling Bags For Women's Ladies","","‎ Sling Bag Best Sellers Rank: #7 in Shoes & Handbags ( See Top 100 in Shoes & Handbags ) #1 in Women's Cross-body Bags Customer Reviews: 3.2 3.2 out of 5 stars 918 ratings","Amazon","Retail Grapple Details","3.2 out of 5","Complement your contemporary look with this stylish combo set of handbag and sling bags. Fargo presents this handbag set which is perfect to carry at work or adorn casually. Crafted from high-quality faux leather, this bag opens to a sizable interior, perfect to stow your essentials and is detailed with polished hardware for a sleek finish. It features an adjustable strap for easy carry and a zip closure for your valuables. Match with casuals or ethnic wear for a complete look. Obsessed about the quality : To create timeless products, quality is foremost. That's why, we have hand-picked and sourced our artisans, leather, threads and all other materials of the very best quality. About brand With simple yet elegant designs, Fargo tries to stand out when it comes to style, quality, and relevance. Our products are designed by experts with high proficiency to meet superior quality standards and highlighting all precise details.","N/A","N/A"
